iter	Passed	Remaining
0	67	66958
1	68	34125
2	71	23680
3	72	18066
4	73	14706
5	75	12455
6	76	10840
7	77	9619
8	78	8690
9	80	7938
10	81	7313
11	82	6804
12	86	6532
13	87	6168
14	89	5847
15	90	5564
16	91	5318
17	93	5092
18	94	4897
19	96	4713
20	97	4546
21	101	4490
22	102	4351
23	103	4220
24	105	4097
25	106	3985
26	107	3880
27	109	3786
28	110	3704
29	111	3618
30	115	3601
31	116	3527
32	118	3459
33	119	3396
34	123	3393
35	124	3334
36	125	3277
37	127	3225
38	130	3217
39	132	3168
40	133	3121
41	134	3077
42	136	3033
43	138	2999
44	139	2957
45	140	2917
46	141	2877
47	144	2873
48	146	2846
49	148	2814
50	150	2796
51	151	2764
52	153	2735
53	154	2708
54	155	2679
55	159	2689
56	161	2665
57	163	2657
58	164	2630
59	166	2604
60	167	2577
61	168	2551
62	169	2526
63	170	2500
64	173	2500
65	175	2477
66	176	2453
67	177	2431
68	178	2410
69	179	2389
70	181	2369
71	182	2349
72	183	2329
73	184	2309
74	186	2294
75	189	2302
76	190	2289
77	192	2273
78	193	2257
79	194	2242
80	196	2225
81	197	2209
82	197	2187
83	199	2172
84	200	2158
85	201	2144
86	204	2141
87	205	2128
88	206	2114
89	207	2101
90	209	2088
91	210	2076
92	211	2065
93	213	2052
94	214	2042
95	215	2031
96	220	2055
97	222	2044
98	223	2034
99	224	2022
100	225	2011
101	227	2002
102	228	1992
103	230	1984
104	233	1988
105	234	1979
106	236	1972
107	238	1966
108	240	1967
109	250	2028
110	252	2018
111	253	2008
112	254	1999
113	256	1989
114	257	1979
115	258	1970
116	259	1959
117	261	1951
118	262	1946
119	265	1945
120	266	1937
121	267	1928
122	269	1918
123	270	1909
124	271	1900
125	272	1891
126	273	1883
127	275	1874
128	276	1866
129	278	1866
130	280	1859
131	281	1851
132	282	1842
133	283	1835
134	285	1828
135	286	1823
136	288	1816
137	289	1809
138	294	1827
139	296	1819
140	297	1811
141	298	1800
142	299	1793
143	300	1786
144	301	1780
145	303	1774
146	304	1769
147	306	1764
148	310	1770
149	312	1768
150	313	1763
151	315	1758
152	318	1762
153	320	1759
154	322	1755
155	325	1759
156	326	1753
157	327	1747
158	329	1743
159	331	1739
160	332	1732
161	334	1732
162	336	1726
163	340	1734
164	341	1729
165	343	1723
166	344	1718
167	345	1713
168	347	1708
169	348	1702
170	351	1702
171	354	1707
172	357	1707
173	358	1701
174	360	1699
175	362	1696
176	364	1693
177	366	1691
178	367	1685
179	371	1692
180	372	1687
181	374	1683
182	376	1679
183	377	1675
184	379	1671
185	380	1667
186	382	1662
187	387	1674
188	389	1671
189	391	1669
190	394	1668
191	395	1666
192	397	1662
193	402	1673
194	404	1669
195	406	1666
196	408	1665
197	410	1664
198	424	1708
199	426	1706
200	436	1734
201	439	1734
202	440	1731
203	442	1728
204	449	1742
205	451	1738
206	453	1738
207	455	1734
208	457	1730
209	458	1725
210	463	1731
211	464	1727
212	466	1723
213	468	1719
214	469	1714
215	470	1709
216	472	1704
217	474	1701
218	475	1697
219	477	1692
220	478	1687
221	480	1682
222	482	1680
223	483	1675
224	485	1672
225	495	1695
226	496	1690
227	497	1684
228	498	1679
229	501	1678
230	510	1700
231	512	1697
232	514	1694
233	517	1694
234	521	1696
235	522	1691
236	523	1686
237	525	1681
238	526	1675
239	528	1672
240	529	1667
241	531	1663
242	534	1665
243	536	1661
244	538	1660
245	540	1655
246	541	1650
247	544	1649
248	545	1645
249	550	1650
250	551	1646
251	553	1641
252	554	1637
253	556	1634
254	558	1630
255	559	1625
256	560	1621
257	565	1625
258	566	1621
259	568	1618
260	570	1614
261	571	1609
262	572	1605
263	574	1601
264	575	1597
265	577	1594
266	580	1592
267	581	1587
268	582	1584
269	584	1579
270	585	1575
271	587	1571
272	588	1568
273	592	1571
274	595	1569
275	596	1565
276	599	1564
277	600	1560
278	602	1556
279	603	1552
280	607	1553
281	609	1551
282	611	1548
283	612	1544
284	614	1540
285	615	1536
286	617	1534
287	620	1533
288	623	1533
289	626	1532
290	627	1529
291	629	1526
292	630	1522
293	632	1517
294	633	1513
295	637	1515
296	638	1511
297	639	1507
298	641	1503
299	642	1499
300	644	1497
301	646	1495
302	648	1491
303	652	1492
304	654	1490
305	656	1488
306	657	1484
307	659	1480
308	660	1476
309	661	1473
310	663	1469
311	666	1469
312	667	1465
313	668	1461
314	671	1460
315	673	1457
316	674	1453
317	675	1449
318	677	1445
319	678	1441
320	681	1442
321	683	1440
322	686	1438
323	688	1436
324	691	1437
325	698	1443
326	700	1441
327	702	1439
328	709	1447
329	713	1449
330	715	1446
331	717	1443
332	719	1440
333	720	1437
334	722	1434
335	724	1432
336	728	1433
337	730	1430
338	732	1428
339	734	1425
340	736	1423
341	740	1424
342	744	1425
343	746	1422
344	748	1420
345	751	1419
346	753	1417
347	755	1414
348	759	1416
349	762	1415
350	768	1421
351	786	1448
352	791	1450
353	793	1448
354	795	1445
355	811	1468
356	816	1471
357	819	1470
358	824	1472
359	826	1470
360	829	1468
361	831	1465
362	846	1485
363	848	1482
364	850	1479
365	862	1494
366	864	1490
367	866	1487
368	867	1484
369	874	1488
370	877	1488
371	879	1485
372	882	1484
373	893	1496
374	895	1492
375	897	1489
376	899	1485
377	905	1489
378	912	1495
